title,price,monthday,year,room,m2,location
sahibinden Fatih mah merkezi konumda 3+1 daire,17.000 TL,04 Aralık,2025,3+1,120,"Anadolu
Fatih Mah."
ISPARTA KARAAĞAÇ'TA KİRALIK BAHÇELİ DUBLEKS,15.000 TL,04 Aralık,2025,2+1,85,"Kepeci
Davraz Mah."
İyi konumda temiz daire,30.000 TL,04 Aralık,2025,3+1,150,"Kepeci
İstiklal Mh."
SAHİBİNDEN KİRALIK DAİRE,17.000 TL,04 Aralık,2025,3+1,130,Anadolu
"SAHİBİNDEN Şehir Manzaralı, Ferah, Şık 3+1 Daire",16.000 TL,04 Aralık,2025,3+1,125,"Anadolu
Yeni Mh."
ISPARTA MERKEZ MEYDAN AVM'YE YAKIN 3+1 KİRALIK DAİRE,10.000 TL,04 Aralık,2025,3+1,140,"Kutlubey
Bağlar Mh."
M.TÜRKEŞ SIFIR 3+1 KİRALIK SİTE İÇİ DAİRE,26.000 TL,04 Aralık,2025,3+1,160,"Anadolu
Muzaffer Türkeş Mh."
FAVORİ EMLAKTAN KİRALIK ARA KAT BALKONLU LÜKS 1+1 APART,18.000 TL,05 Aralık,2025,1+1,55,"Kepeci
İstiklal Mh."
32 ARTIBİR EMLAKTAN YENİ ÜNİVERSİTE'NİN TAM KARŞISI 1+1 APART,14.000 TL,04 Aralık,2025,1+1,55,"Çelebiler
Doğancı Mh."
32/ARTIBİR EMLAK'TAN BURDUR YOLU ÜSTÜ SIFIR LÜKS DAİRE,35.000 TL,04 Aralık,2025,3+1,166,"Anadolu
Muzaffer Türkeş Mh."
SİTE İÇİ 3+1 135 M2 4.KAT BAKIMLI DOĞU BATI AKŞAMA KADARGÜNEŞLİ,11.500 TL,04 Aralık,2025,3+1,135,Anadolu
Lüks Kiralık Villa,88.000 TL,04 Aralık,2025,4+1,400,"Kepeci
Davraz Mah."
İSUBU yanı 2+0 Kiralık Apart,10.000 TL,06 Aralık,2025,2+0,55,"Kutlubey
Hızırbey Mh."
,,,,,,
